,GeoPoint,Shape,x,y,node,xGPS,yGPS,Geo,Geo_Name,Annual_Load_MWh,Pmax_MW
BT1,"7771716.8535, 1592063.66197","[1592063.661970298, 7771716.853502749]",1592063.66197,7771716.8535,N3557,1.6305218907014398,45.14134293486548,190430000,La Chapelle-aux-Brocs,146.04409090909093,0.036251394697453976
BT7,"7765721.85983, 1593916.99118","[1593916.9911762276, 7765721.859825089]",1593916.99118,7765721.85983,N3055,1.6553787563512032,45.08782123343475,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT9,"7763636.9977, 1593156.89313","[1593156.8931306868, 7763636.997703622]",1593156.89313,7763636.9977,N4046,1.6462176111966484,45.068984037557364,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT10,"7761311.63205, 1594108.84806","[1594108.8480601727, 7761311.632052916]",1594108.84806,7761311.63205,N4206,1.6587975631029532,45.048261205163705,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT11,"7762466.62803, 1594156.3334","[1594156.333400469, 7762466.62802626]",1594156.3334,7762466.62803,N4185,1.6591405219977091,45.05863696092347,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT12,"7763890.12415, 1592035.78704","[1592035.787044603, 7763890.124148489]",1592035.7870399999,7763890.12415,N3980,1.6319576230459207,45.07107590630282,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT17,"7771041.36307, 1589635.12248","[1589635.122484977, 7771041.363070313]",1589635.12248,7771041.36307,N3407,1.5998739507416389,45.13488097828658,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT18,"7772295.73967, 1587629.0506","[1587629.0505978127, 7772295.739669118]",1587629.0506,7772295.73967,N3267,1.5741313204323155,45.14580683829854,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT19,"7771725.45274, 1589145.55775","[1589145.5577519082, 7771725.452741006]",1589145.55775,7771725.45274,N3365,1.5935038142807452,45.14094110718084,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT20,"7768747.5567, 1587007.73183","[1587007.7318273527, 7768747.5566987125]",1587007.73183,7768747.5567,N3473,1.5670990101380535,45.113848617102136,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT24,"7780090.34128, 1583614.66466","[1583614.6646654543, 7780090.341284184]",1583614.66466,7780090.34128,N3502,1.5212793624367165,45.215094927151966,190720000,Donzenac,332.9254615384616,0.07031433803436393
BT26,"7765283.76728, 1585308.89741","[1585308.897405895, 7765283.7672758205]",1585308.89741,7765283.76728,N3742,1.546401597155867,45.082464148728285,190930000,Jugeals-Nazareth,167.27380952380952,0.04372274047918495
BT27,"7765229.58859, 1584952.41142","[1584952.4114223474, 7765229.588588493]",1584952.41142,7765229.58859,N3753,1.5418977796747706,45.08191641760314,190930000,Jugeals-Nazareth,167.27380952380952,0.04372274047918495
BT28,"7764866.56059, 1585156.95265","[1585156.9526482974, 7764866.560584996]",1585156.95265,7764866.560589999,N3779,1.54457767752523,45.07869281433522,190930000,Jugeals-Nazareth,167.27380952380952,0.04372274047918495
BT29,"7763939.03534, 1597379.10599","[1597379.105991139, 7763939.035340561]",1597379.10599,7763939.035339999,N4259,1.6996399926900456,45.07235808378477,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT30,"7763809.09012, 1598438.35995","[1598438.3599478486, 7763809.09012389]",1598438.35995,7763809.09012,N4298,1.7130876481323989,45.0713536057554,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT31,"7767776.50565, 1596306.69874","[1596306.698740789, 7767776.505649004]",1596306.69874,7767776.50565,N3984,1.6852116090941807,45.10664211609896,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT32,"7766220.03248, 1594695.48168","[1594695.4816872675, 7766220.032477442]",1594695.48168,7766220.0324800005,N3969,1.665133203611792,45.09241676291186,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT33,"7768685.23144, 1593700.69236","[1593700.6923636561, 7768685.231437203]",1593700.69236,7768685.231439997,N3797,1.6519708006575302,45.114389735814676,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT34,"7767761.55464, 1595040.41267","[1595040.4126722924, 7767761.554638363]",1595040.41267,7767761.55464,N3905,1.6691622152750316,45.106309792104454,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT35,"7761682.61812, 1590875.9718","[1590875.9717961394, 7761682.618124125]",1590875.9718,7761682.61812,N4097,1.6177737768544644,45.05107085385355,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT36,"7761134.32484, 1589454.97574","[1589454.9757337084, 7761134.324837385]",1589454.97574,7761134.324839999,N4119,1.5999067685837405,45.04591521131443,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT45,"7760142.94517, 1592646.84344","[1592646.8434471132, 7760142.94516503]",1592646.84344,7760142.945169997,N3147,1.6405489956133623,45.03753674543334,191790000,Saillac,150.37257142857143,0.03733447715408755
BT46,"7761452.30387, 1592392.60511","[1592392.6051109824, 7761452.303865568]",1592392.6051100001,7761452.30387,N4183,1.6370325195911115,45.04924956362956,191790000,Saillac,150.37257142857143,0.03733447715408755
BT48,"7778945.93839, 1587667.66165","[1587667.6616555334, 7778945.93839193]",1587667.66165,7778945.93839,N3405,1.5730351792349742,45.2055169865722,192020000,Sainte-Féréole,139.8640877192983,0.03511443205169127
BT62,"7765807.45403, 1599577.58771","[1599577.5877073996, 7765807.45402872]",1599577.58771,7765807.4540300025,N3154,1.7270958214369458,45.08946578100194,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT63,"7765276.90821, 1600707.94838","[1600707.9483841364, 7765276.908212624]",1600707.94838,7765276.908210001,N4327,1.741532537452346,45.08487211246589,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT64,"7765594.08257, 1600656.79095","[1600656.7909466564, 7765594.08257289]",1600656.79095,7765594.08257,N4321,1.7408175943471982,45.087711866964604,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT65,"7766551.94088, 1599875.06252","[1599875.062520754, 7766551.940877506]",1599875.0625200004,7766551.9408800015,N4288,1.7307079935941674,45.09619400841238,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT66,"7763310.49263, 1587736.72959","[1587736.729590433, 7763310.492625138]",1587736.72959,7763310.49263,N3897,1.5776332575981205,45.065163293333576,192730000,Turenne,97.96497619047621,0.02453301509994311
BT67,"7760084.52991, 1589814.89295","[1589814.892950743, 7760084.529908165]",1589814.89295,7760084.529910001,N4194,1.6047085710948337,45.03655109050624,192730000,Turenne,97.96497619047621,0.02453301509994311
BT68,"7761846.27045, 1587850.04809","[1587850.0480921306, 7761846.270454945]",1587850.04809,7761846.27045,N4017,1.5794157684789445,45.05203842764521,192730000,Turenne,97.96497619047621,0.02453301509994311
BT73,"7776692.36672, 1586286.9413","[1586286.941299096, 7776692.3667157665]",1586286.9413,7776692.3667199975,N3259,1.556044448215298,45.18505029872854,192740000,Ussac,367.3753835616439,0.07894207065344112
BT74,"7776288.09898, 1584033.57718","[1584033.5771824198, 7776288.098982139]",1584033.57718,7776288.09898,N2752,1.5275373567747468,45.181032265370725,192740000,Ussac,367.3753835616439,0.07894207065344112
BT86,"7773678.53206, 1588047.14009","[1588047.1400901482, 7773678.532057502]",1588047.14009,7773678.532060001,N3257,1.579106824002288,45.15829127831268,191230103,Sud,510.0748857142857,0.11050399289154605
BT91,"7769710.06763, 1591608.22546","[1591608.225462365, 7769710.0676314505]",1591608.22546,7769710.06763,N3624,1.6252057003749512,45.123253166376784,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT92,"7774229.75913, 1586680.55974","[1586680.5597391264, 7774229.759132622]",1586680.55974,7774229.75913,N3182,1.56163392521654,45.16300889966691,191230101,Centre,907.5469445421402,0.18604829417620133
BT96,"7769813.94084, 1587238.53629","[1587238.5362865345, 7769813.940842326]",1587238.53629,7769813.9408399975,N555,1.5697704976492908,45.12346086156985,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT98,"7769570.27487, 1594094.55238","[1594094.552381538, 7769570.274867816]",1594094.55238,7769570.27487,N3787,1.6567659038845062,45.12239781090952,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT99,"7770956.86131, 1593474.25428","[1593474.2542734814, 7770956.861309052]",1593474.25428,7770956.8613100005,N3688,1.6485870784869932,45.13474703509977,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT100,"7773895.60611, 1584935.44139","[1584935.4413851344, 7773895.606114432]",1584935.44139,7773895.606110001,N2628,1.539570108767718,45.15970987185135,190310102,Guierle,930.285230094106,0.1949644197370618
BT101,"7769419.47156, 1590960.93928","[1590960.9392785702, 7769419.471563841]",1590960.9392799996,7769419.47156,N2982,1.6170647497236483,45.12053882275592,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT102,"7761459.41751, 1585419.28639","[1585419.2863857963, 7761459.417513582]",1585419.28639,7761459.417510001,N4039,1.5487268139589538,45.04815302655852,192730000,Turenne,97.96497619047621,0.02453301509994311
BT104,"7769820.1435, 1590370.77464","[1590370.7746365133, 7769820.1435017185]",1590370.77464,7769820.1435,N3531,1.6094883308492731,45.124039006175316,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT105,"7773257.96335, 1584471.23215","[1584471.2321557773, 7773257.963348316]",1584471.23215,7773257.96335,N2702,1.5338359883312014,45.153905109004384,190310103,Poste,1301.8001000000002,0.28184589350402217
BT106,"7770181.64779, 1585954.54652","[1585954.546524912, 7770181.647792236]",1585954.54652,7770181.64779,N2844,1.5533998499430992,45.12654343366926,190310302,Breuil,301.86220833333334,0.07484823222711207
BT107,"7781190.07845, 1582790.29629","[1582790.2962933914, 7781190.078451626]",1582790.29629,7781190.07845,N3617,1.5105340138623178,45.224823623475324,190720000,Donzenac,332.9254615384616,0.07031433803436393
BT116,"7764927.81179, 1594361.34936","[1594361.3493648588, 7764927.8117924435]",1594361.34936,7764927.81179,N3085,1.6611873843434632,45.080763479467315,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT117,"7764367.0475, 1593855.31289","[1593855.312897637, 7764367.047496797]",1593855.31289,7764367.0475,N4030,1.6549013733070246,45.07564915221757,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT118,"7762128.71726, 1593176.24001","[1593176.2400049602, 7762128.717260136]",1593176.24001,7762128.71726,N3110,1.6468033179683892,45.055447451089535,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT119,"7762879.5419, 1592526.95546","[1592526.9554634497, 7762879.541903388]",1592526.95546,7762879.5419,N3087,1.6384096539616335,45.06208327285901,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT121,"7769038.79771, 1588695.09718","[1588695.0971839183, 7769038.797708469]",1588695.0971799996,7769038.7977100015,N3496,1.5884235423546824,45.116746970603245,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT122,"7769693.33189, 1588911.80783","[1588911.8078252203, 7769693.331890359]",1588911.8078299996,7769693.331889999,N3452,1.5910172049654123,45.122659051487744,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT123,"7772912.1161, 1588706.77264","[1588706.772639289, 7772912.116095374]",1588706.7726399999,7772912.1161,N2805,1.5876578155126624,45.15152124573193,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT124,"7772519.79317, 1587441.48128","[1587441.4812816211, 7772519.793174591]",1587441.48128,7772519.793169999,N2762,1.5716983419853152,45.147786614648744,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT126,"7773027.91842, 1587888.74783","[1587888.747826279, 7773027.918422479]",1587888.74783,7773027.91842,N3244,1.5772517353525688,45.15242372036865,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT127,"7770792.73587, 1588642.54907","[1588642.5490714936, 7770792.735865728]",1588642.5490700004,7770792.73587,N3383,1.5873434104847848,45.1324838535283,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT128,"7772136.19699, 1589602.31514","[1589602.3151395032, 7772136.196986072]",1589602.3151399996,7772136.196989999,N2856,1.5992015803100756,45.14470438642558,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT133,"7781040.1866, 1583097.69916","[1583097.699159923, 7781040.18660482]",1583097.69916,7781040.1866,N3606,1.5144766677071642,45.22353197944724,190720000,Donzenac,332.9254615384616,0.07031433803436393
BT135,"7765898.98448, 1586603.79165","[1586603.791646527, 7765898.984482291]",1586603.79165,7765898.98448,N3701,1.5626615695493735,45.0882082495701,190930000,Jugeals-Nazareth,167.27380952380952,0.04372274047918495
BT136,"7765556.66351, 1586457.53178","[1586457.53178026, 7765556.66350896]",1586457.5317799996,7765556.66351,N3727,1.5608903603012736,45.08511038099935,190930000,Jugeals-Nazareth,167.27380952380952,0.04372274047918495
BT137,"7765444.58727, 1586834.98477","[1586834.9847630982, 7765444.587271153]",1586834.98477,7765444.58727,N3717,1.5657001351925346,45.08416841468086,190930000,Jugeals-Nazareth,167.27380952380952,0.04372274047918495
BT139,"7774912.78545, 1589278.32605","[1589278.3260490086, 7774912.785452533]",1589278.32605,7774912.78545,N2811,1.5944393070178906,45.169577762467746,191230103,Sud,510.0748857142857,0.11050399289154605
BT140,"7774471.25296, 1587876.91888","[1587876.9188775893, 7774471.252956687]",1587876.91888,7774471.25296,N2721,1.5767583001345782,45.16537939112046,191230103,Sud,510.0748857142857,0.11050399289154605
BT141,"7773628.70739, 1587095.88524","[1587095.885237325, 7773628.707385192]",1587095.88524,7773628.707389999,N3206,1.5670483942375957,45.15768343613391,191230103,Sud,510.0748857142857,0.11050399289154605
BT143,"7776912.29486, 1588320.49575","[1588320.49575147, 7776912.294863129]",1588320.49575,7776912.294860003,N3320,1.5818087810868358,45.187368968362044,191230102,Nord,369.9580571428572,0.07931128137282856
BT144,"7775557.97722, 1586774.94775","[1586774.9477484194, 7775557.977224201]",1586774.94775,7775557.97722,N3216,1.5625125126258943,45.1749492154529,191230102,Nord,369.9580571428572,0.07931128137282856
BT145,"7775688.13956, 1586786.20796","[1586786.2079529199, 7775688.1395600205]",1586786.20796,7775688.139560001,N3224,1.5626241513946943,45.176119687791385,191230102,Nord,369.9580571428572,0.07931128137282856
BT146,"7774452.78186, 1586638.15792","[1586638.1579189305, 7774452.781862871]",1586638.1579200001,7774452.78186,N3181,1.5610421956190903,45.16500389276473,191230101,Centre,907.5469445421402,0.18604829417620133
BT147,"7774894.69539, 1586838.67594","[1586838.6759405881, 7774894.695388045]",1586838.67594,7774894.695389999,N3193,1.5634807293968838,45.16900532300778,191230101,Centre,907.5469445421402,0.18604829417620133
BT148,"7773773.05595, 1586754.33967","[1586754.3396664953, 7773773.055952145]",1586754.3396700001,7773773.05595,N2638,1.5626799329498071,45.15892136087161,191230103,Sud,510.0748857142857,0.11050399289154605
BT149,"7774696.31164, 1588237.44907","[1588237.4490692925, 7774696.311641383]",1588237.44907,7774696.311639999,N2744,1.5812802646140645,45.16746048217802,191230103,Sud,510.0748857142857,0.11050399289154605
BT150,"7773485.83052, 1588062.65843","[1588062.6584306047, 7773485.830521832]",1588062.6584299996,7773485.8305199975,N3243,1.5793494983975236,45.1565638925737,191230103,Sud,510.0748857142857,0.11050399289154605
BT151,"7773725.69679, 1588139.13517","[1588139.135169326, 7773725.6967886]",1588139.1351700001,7773725.696789999,N2757,1.5802629493129805,45.15873015750296,191230103,Sud,510.0748857142857,0.11050399289154605
BT152,"7762390.95978, 1596548.659","[1596548.6590024284, 7762390.959778476]",1596548.659,7762390.95978,N4290,1.6894576799732932,45.05833275840325,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT159,"7760918.83034, 1593164.32152","[1593164.3215216296, 7760918.830343595]",1593164.32152,7760918.830339999,N4217,1.646925510484705,45.044584638457394,191790000,Saillac,150.37257142857143,0.03733447715408755
BT160,"7762182.61072, 1598609.42473","[1598609.4247248864, 7762182.610718511]",1598609.4247299999,7762182.610719997,N4332,1.7156034921687418,45.056778618404074,191840000,Saint-Bazile-de-Meyssac,72.919875,0.01948785539458602
BT161,"7777795.96804, 1587154.99619","[1587154.996187586, 7777795.968042036]",1587154.9961899999,7777795.96804,N3319,1.5668000543359442,45.19510592717253,192020000,Sainte-Féréole,139.8640877192983,0.03511443205169127
BT183,"7767852.41561, 1601351.58236","[1601351.5823562883, 7767852.415613787]",1601351.5823600001,7767852.4156100005,N4312,1.7491509271520371,45.108088978456706,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT184,"7760774.49144, 1585557.73591","[1585557.735911117, 7760774.491436037]",1585557.73591,7760774.491439999,N4086,1.5506455865897495,45.04202850722528,192730000,Turenne,97.96497619047621,0.02453301509994311
BT185,"7761599.63404, 1589200.71194","[1589200.711936245, 7761599.634035169]",1589200.71194,7761599.634039999,N4074,1.5965782220511164,45.050049989733935,192730000,Turenne,97.96497619047621,0.02453301509994311
BT193,"7763185.25882, 1586018.93264","[1586018.9326393495, 7763185.258821021]",1586018.93264,7763185.25882,N3894,1.5559042961133187,45.06374794328092,192730000,Turenne,97.96497619047621,0.02453301509994311
BT198,"7769302.81524, 1588182.4149","[1588182.4148994337, 7769302.8152360255]",1588182.4149,7769302.8152399985,N3455,1.5818606388109906,45.11903133512594,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT200,"7765517.78559, 1597581.01931","[1597581.0193105647, 7765517.785589297]",1597581.0193100001,7765517.785589999,N3125,1.701855985397038,45.086561807696285,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT206,"7780551.40238, 1583709.08215","[1583709.082156101, 7780551.402383265]",1583709.08215,7780551.40238,N2940,1.5223646638282649,45.21925082066009,190720000,Donzenac,332.9254615384616,0.07031433803436393
BT207,"7774182.58966, 1584519.15644","[1584519.1564405619, 7774182.589658886]",1584519.15644,7774182.589660001,N2647,1.5342174999975124,45.1622142354002,190310102,Guierle,930.285230094106,0.1949644197370618
BT208,"7775899.69252, 1587300.28239","[1587300.2823881167, 7775899.692523322]",1587300.28239,7775899.69252,N3246,1.5690987331294999,45.178106148060856,191230101,Centre,907.5469445421402,0.18604829417620133
BT209,"7774320.51387, 1586994.94575","[1586994.9457519092, 7774320.513867079]",1586994.94575,7774320.51387,N2635,1.5656017193798824,45.16387706811621,191230101,Centre,907.5469445421402,0.18604829417620133
BT210,"7775769.9715, 1587558.5847","[1587558.5846937469, 7775769.971501432]",1587558.5847,7775769.9715,N3252,1.5724084841845023,45.176985211478545,191230102,Nord,369.9580571428572,0.07931128137282856
BT211,"7776029.38896, 1588129.52717","[1588129.5271671016, 7776029.388959178]",1588129.5271700001,7776029.388960001,N2754,1.5795940350413618,45.179410355398225,191230102,Nord,369.9580571428572,0.07931128137282856
BT212,"7775831.95243, 1588491.00255","[1588491.0025518085, 7775831.952428172]",1588491.00255,7775831.9524300005,N3281,1.5842293238813592,45.17769844420647,191230102,Nord,369.9580571428572,0.07931128137282856
BT213,"7774783.85671, 1587367.57814","[1587367.5781407813, 7774783.856708921]",1587367.5781399999,7774783.856710001,N2693,1.570219750294621,45.16809990259987,191230101,Centre,907.5469445421402,0.18604829417620133
BT214,"7774282.36909, 1587517.67572","[1587517.6757149268, 7774282.369088468]",1587517.6757200004,7774282.369089997,N2703,1.5722443839688036,45.1636230945049,191230103,Sud,510.0748857142857,0.11050399289154605
BT215,"7774817.28763, 1586790.94111","[1586790.9411105646, 7774817.287628142]",1586790.94111,7774817.28763,N2629,1.5628935069972067,45.1683022722069,191230101,Centre,907.5469445421402,0.18604829417620133
BT216,"7774773.81797, 1586034.38967","[1586034.3896744738, 7774773.817965045]",1586034.3896700004,7774773.817969997,N3167,1.5533024696468771,45.167782997834045,191230101,Centre,907.5469445421402,0.18604829417620133
BT217,"7776237.57796, 1588692.56467","[1588692.5646726808, 7776237.577956961]",1588692.56467,7776237.57796,N3298,1.5866919935699904,45.18137378351717,191230102,Nord,369.9580571428572,0.07931128137282856
BT218,"7762107.95511, 1595457.66053","[1595457.6605251834, 7762107.955113543]",1595457.66053,7762107.95511,N3146,1.6757020164662149,45.055622268658894,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT219,"7762624.02328, 1595364.84514","[1595364.8451410132, 7762624.02328213]",1595364.8451399999,7762624.02328,N4226,1.6744123701920732,45.06024042937069,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT221,"7761663.44633, 1595298.10807","[1595298.1080647423, 7761663.446331894]",1595298.10807,7761663.4463300025,N4284,1.6737796437714407,45.05160695907378,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT222,"7762439.90556, 1597463.26496","[1597463.2649533134, 7762439.90556039]",1597463.26496,7762439.905560001,N4304,1.7010312115891222,45.058913268687505,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT223,"7764582.71464, 1590229.32158","[1590229.3215860194, 7764582.714643716]",1590229.32158,7764582.714639999,N3861,1.6089117195292535,45.076998529655675,191500000,Noailhac,82.57615789473684,0.021168730461267243
BT224,"7766271.14847, 1592802.91838","[1592802.918378838, 7766271.148467649]",1592802.91838,7766271.1484699985,N3854,1.6411360727187423,45.092574180211365,191500000,Noailhac,82.57615789473684,0.021168730461267243
BT225,"7764542.07925, 1591981.81493","[1591981.8149315428, 7764542.07924544]",1591981.8149299999,7764542.07925,N3930,1.6311249323839896,45.07691975423071,191500000,Noailhac,82.57615789473684,0.021168730461267243
BT237,"7773649.79671, 1583751.46527","[1583751.4652745957, 7773649.79671486]",1583751.46527,7773649.79671,N3236,1.5246071606478346,45.15729757044582,190310104,Arsonval,795.241111111111,0.17275388801700636
BT239,"7762057.6247, 1594383.62885","[1594383.6288487327, 7762057.62469915]",1594383.62885,7762057.6247,N4208,1.6621106765203375,45.055001388597795,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT243,"7779394.68914, 1584583.98386","[1584583.9838622215, 7779394.689140588]",1584583.98386,7779394.6891399985,N2896,1.5337625483768502,45.20901823098478,190720000,Donzenac,332.9254615384616,0.07031433803436393
BT246,"7765114.56248, 1585871.23474","[1585871.2347391476, 7765114.562479561]",1585871.23474,7765114.56248,N3757,1.5535678027155368,45.08104165179411,190930000,Jugeals-Nazareth,167.27380952380952,0.04372274047918495
BT247,"7765311.53898, 1596474.96285","[1596474.962847507, 7765311.538983668]",1596474.96285,7765311.5389800025,N4133,1.6878848537367868,45.084539569557506,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT248,"7766532.4538, 1596494.68639","[1596494.6863935362, 7766532.453803689]",1596494.68639,7766532.4538,N4077,1.6878673537603808,45.095503062656405,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT249,"7762621.73627, 1591040.96774","[1591040.9677403858, 7762621.736273341]",1591040.96774,7762621.736269997,N4036,1.6196469798005009,45.059528063559895,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT250,"7775092.72002, 1586795.16756","[1586795.1675551005, 7775092.72002311]",1586795.16756,7775092.72002,N2637,1.5628809648677495,45.17077572516324,191230101,Centre,907.5469445421402,0.18604829417620133
BT252,"7773879.35952, 1587587.99668","[1587587.9966737553, 7773879.359521532]",1587587.9966799999,7773879.359519999,N2712,1.5732328980843873,45.160016905277566,191230103,Sud,510.0748857142857,0.11050399289154605
BT253,"7773679.09159, 1587508.82982","[1587508.8298237, 7773679.091593935]",1587508.82982,7773679.0915899975,N2660,1.572276123758778,45.15820562045429,191230103,Sud,510.0748857142857,0.11050399289154605
BT254,"7775303.8466, 1586438.83404","[1586438.8340367295, 7775303.8466018615]",1586438.8340399999,7775303.8466,N2636,1.5583075546467922,45.172610484574186,191230101,Centre,907.5469445421402,0.18604829417620133
BT255,"7774888.14808, 1587168.50083","[1587168.5008269558, 7774888.148077926]",1587168.50083,7774888.1480800025,N3207,1.567668243542943,45.16900249940946,191230101,Centre,907.5469445421402,0.18604829417620133
BT256,"7775151.83961, 1586609.08266","[1586609.0826605463, 7775151.839614753]",1586609.08266,7775151.839610001,N3195,1.5605049801990385,45.171274825147584,191230101,Centre,907.5469445421402,0.18604829417620133
BT258,"7777646.60166, 1587808.15977","[1587808.1597683157, 7777646.601664776]",1587808.15977,7777646.60166,N3339,1.5751292756273032,45.19387533194779,192020000,Sainte-Féréole,139.8640877192983,0.03511443205169127
BT259,"7774322.96405, 1586464.15954","[1586464.1595321654, 7774322.964049062]",1586464.15954,7774322.96405,N3171,1.5588653564040258,45.16380880600004,191230101,Centre,907.5469445421402,0.18604829417620133
BT261,"7775042.05117, 1587046.71338","[1587046.7133853196, 7775042.051169202]",1587046.7133799999,7775042.05117,N2642,1.5660856906371012,45.1703635455966,191230101,Centre,907.5469445421402,0.18604829417620133
BT262,"7761194.52907, 1597054.26225","[1597054.2622501631, 7761194.529070511]",1597054.26225,7761194.529069997,N4325,1.6961217958024073,45.04767066318529,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT263,"7761886.91755, 1595302.23681","[1595302.2368120807, 7761886.917554565]",1595302.2368100001,7761886.91755,N4266,1.6737824852790963,45.05361367934863,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT264,"7765423.18346, 1592187.67757","[1592187.6775740257, 7765423.183464939]",1592187.67757,7765423.183460001,N3860,1.6335322274546902,45.08486275384508,191500000,Noailhac,82.57615789473684,0.021168730461267243
BT272,"7769180.11928, 1590702.73514","[1590702.735141414, 7769180.119276539]",1590702.73514,7769180.11928,N3599,1.6138461135859148,45.11834779772099,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT273,"7759937.02193, 1591900.12496","[1591900.1249576234, 7759937.02193052]",1591900.12496,7759937.021930003,N4277,1.6311420926347846,45.035567781885604,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT274,"7761886.10344, 1587483.95854","[1587483.9585397835, 7761886.103440034]",1587483.95854,7761886.10344,N4009,1.5747701912075185,45.05233439228966,192730000,Turenne,97.96497619047621,0.02453301509994311
BT275,"7773234.43998, 1584794.34576","[1584794.3457536295, 7773234.439983246]",1584794.34576,7773234.43998,N3219,1.537941324186522,45.15374987986224,190310203,Caserne,847.3268946992425,0.20542706618829457
BT276,"7779374.36312, 1588182.64618","[1588182.646182688, 7779374.363124455]",1588182.64618,7779374.36312,N3431,1.5794737057716834,45.209450104050006,192020000,Sainte-Féréole,139.8640877192983,0.03511443205169127
BT280,"7780792.77977, 1582087.54507","[1582087.5450745986, 7780792.779764958]",1582087.54507,7780792.77977,N3622,1.5017056039453471,45.22113251743494,190720000,Donzenac,332.9254615384616,0.07031433803436393
BT282,"7761623.79383, 1591011.36924","[1591011.3692400714, 7761623.793830419]",1591011.36924,7761623.79383,N4122,1.6195019665038113,45.05056492188618,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT285,"7777022.5715, 1585031.09158","[1585031.0915798892, 7777022.571504087]",1585031.09158,7777022.5715,N3272,1.5400206502073042,45.18779912905371,192740000,Ussac,367.3753835616439,0.07894207065344112
BT286,"7780832.60746, 1583826.18744","[1583826.1874392787, 7780832.607459076]",1583826.18744,7780832.6074600015,N3542,1.5237827996138908,45.22179593289894,190720000,Donzenac,332.9254615384616,0.07031433803436393
BT288,"7772701.11444, 1591102.75873","[1591102.7587316025, 7772701.114435863]",1591102.75873,7772701.11444,N3450,1.6181054952833436,45.15002287152713,190430000,La Chapelle-aux-Brocs,146.04409090909093,0.036251394697453976
BT289,"7772833.64301, 1592441.99305","[1592441.9930470916, 7772833.643012947]",1592441.99305,7772833.643010003,N3555,1.635066318042147,45.15143020216428,190430000,La Chapelle-aux-Brocs,146.04409090909093,0.036251394697453976
BT293,"7762521.88095, 1593117.30698","[1593117.306982168, 7762521.880947798]",1593117.3069799999,7762521.88095,N4141,1.6459681166765716,45.058967391009396,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
